Date,SP500_Return,VIX,Yield_Spread,Regime_GMM,Regime_label
2016-04-22,0.1538205807475257,-0.7903990708052906,0.0487566495292121,1,Calm
2016-04-29,-0.5842328205809854,-0.4862003253118253,0.0596084212473973,1,Calm
2016-05-06,-0.2250191673193872,-0.6064078601340446,0.0487566495292121,1,Calm
2016-05-13,-0.2735307967354349,-0.5671564392906198,-0.0597610676526402,1,Calm
2016-05-20,0.0539449712031702,-0.5475307288689073,-0.0489092959344549,1,Calm
2016-05-27,0.8700553542801579,-0.8026651983080916,-0.0597610676526402,1,Calm
2016-06-03,-0.0599094653170323,-0.7597338690267497,-0.0814646110890105,1,Calm
2016-06-10,-0.1216156594389905,-0.3230613442298027,-0.103168154525381,1,Calm
2016-06-17,-0.5545425678304313,-0.0311287262391384,-0.0923163828071958,1,Calm
2016-06-24,-0.7419780426858886,0.7477674457271875,-0.0814646110890105,0,Stressful
2016-07-01,1.248192512562038,-0.6002747963826441,-0.1465752413981219,1,Calm
2016-07-08,0.465368368001262,-0.7928523430972354,-0.2659447302981594,1,Calm
2016-07-15,0.5524103827378232,-0.8578625381137733,-0.1248716979617515,1,Calm
2016-07-22,0.1922015473996171,-0.9375920159465952,-0.1574270131163072,1,Calm
2016-07-29,-0.0884844572028273,-0.9559912072007966,-0.2333894151436037,1,Calm
2016-08-05,0.1147261124486136,-1.0148683384659338,-0.1465752413981219,1,Calm
2016-08-12,-0.0389353069049176,-0.9952426280442214,-0.2225376434254184,1,Calm
2016-08-19,-0.0646926403333351,-1.0210014022173344,-0.2008340999890481,1,Calm
2016-08-26,-0.3430972014330699,-0.7376550032915541,-0.2442411868617889,1,Calm
2016-09-02,0.1467891444264094,-0.9424985605304846,-0.2225376434254184,1,Calm
2016-09-09,-1.0630850190331351,-0.2654108491106379,-0.1357234696799367,1,Calm
2016-09-16,0.1587366060473816,-0.5266783823012225,-0.0814646110890105,1,Calm
2016-09-23,0.429389129786609,-0.9044736588545708,-0.1682787848344924,1,Calm
2016-09-30,0.0070590388622074,-0.7818128517404068,-0.1899823282708629,1,Calm
2016-10-07,-0.3393694719713014,-0.7585073498592386,-0.1140199262435662,1,Calm
2016-10-14,-0.4618750104012455,-0.4346826599871382,-0.0489092959344549,1,Calm
2016-10-21,0.0970201144852959,-0.7756797879890063,-0.1140199262435662,1,Calm
2016-10-28,-0.347180609673096,-0.4260964409222543,-0.005502209061714,1,Calm
2016-11-04,-0.8710800147990203,0.3491198226061545,-0.0163539807798992,0,Stressful
2016-11-11,1.481843986169581,-0.6738713274425273,0.2440885404565461,1,Calm
2016-11-18,0.2708125294683982,-0.8357835554001157,0.2874956273292871,1,Calm
2016-11-25,0.5306050973728436,-0.8983405951031703,0.2549403121747313,1,Calm
2016-12-02,-0.4631118457068454,-0.6800043911939275,0.3091991707656575,1,Calm
2016-12-09,1.194576111748954,-0.9707104900170808,0.3417544859202132,1,Calm
2016-12-16,-0.0880169685610364,-0.9155131502113992,0.3417544859202132,1,Calm
2016-12-23,0.0433483406326893,-1.0087353916929946,0.3526062576383985,1,Calm
2016-12-30,-0.5198250713282485,-0.6898172464047838,0.2657920838929166,1,Calm
2017-01-06,0.6375296763286675,-1.0234546745092787,0.2115332253019904,1,Calm
2017-01-13,-0.1038117727115303,-1.0344941658661075,0.2006814535838051,1,Calm
2017-01-20,-0.1218739702160711,-0.9964692641901938,0.2983473990474722,1,Calm
2017-01-27,0.3622643840930927,-1.1142236436989297,0.2874956273292871,1,Calm
2017-02-03,-0.0121105498002858,-1.0663858868121596,0.2983473990474722,1,Calm
2017-02-10,0.2736377908412609,-1.0811051696284435,0.2223849970201756,1,Calm
2017-02-17,0.5600841557125972,-1.0026023279415943,0.2223849970201756,1,Calm
2017-02-24,0.2223597227613976,-1.0050554832550775,0.2006814535838051,1,Calm
2017-03-03,0.2134838128504795,-1.067612522958132,0.1789779101474347,1,Calm
